Emp No,Device Token,newToken
1,2391C43A4C815BACD0B55C8E4AA8C8EDDBE54E65CA0F8F430E3EA102C20E2BAD627B22EBB4F05879EE04657697F36618B6AC8112FA7538C5DF21949BBDEAGDEUWFEWIFWIFWFWNK,D0EI52Judu2YZuIxbGiXow1vvPSq9uGrakJD8Z4Pf8jyLaWlOvWRDw0eaZcIj67u1cmZTvdg4femmganSrYV54Gq12b2e9DNFOvAbNaV0GhGif4gY3T5WtpfbXO0GIX9vNM6CfFbI4u3Ill3IqC4GrlLG1uBTSoAgZgWr9MFdoVwZIaXKBoe4cY7KWwdotZFcC6meM0uGX77RNoVTRFdafnlnWODABi4JoC
2,2391C43A4C815BACD0B55C8E4AA8C8EDDBE54E65CA0F8F430E3EA102C20E2BAD627B22EBB4F05879EE04657697F36618B6AC8112FA7538C5DF21949FREFBBAGDEUWFEWIFWIFWFWNL,6JQCvp54kEKLjjIyCN97PUsPMr2BUvSSYvyDj2et2aAk6znUMa1dwoe11FDyQVoLeXRgkOrsGnmQ3bljaCp89WuXOYPBlW1EOrnVlU7lwmRbdZni0LreYXNRFGC1QCoAcPArfyUPvpJcIH5nnVuRVC6JWkNFdG3DlLC8WJaSY4a4b0mmCFb0CIXaoGFFb7q7Ye5rLc2gXNKL9VSLElM7pLycqBAEVvYVlsnBKP4Isn8v1N1ILh5O4
3,2391C43A4C815BACD0B55C8E4AA8C8EDDBE54E65CA0F8F430E3EA102C20E2BAD627B22EBB4F05879EE04657697F36618B6AC8112FA7538C5DF21949BFEFERBAGDEUWFEWIFWIFWFWM,pS1Hu8q33FjJlYgWgrXJNup2h3kkkGyaDRuAtFzxXsxsWQvGSEnPzHm7XfgMI4XdLcA2MJo5Wj2Hzm1uTsh2Mo7MJfAN4vHZdryEGuBRZQiO87hVl1px33xMjDHGP1Y9d1WsfhTUATtC3CMI9YAEwT1S5r3NRJB2z6jFqv16OasbZZ5sW44RSDao8pKm2qNWFgD
5,G6w5V6QYJmlHWdoYSXL83O5nRDRjG9yWXT0OTkx1DzD6h1bXQYSrCwjuHV8KHeEoxeVCa4hw6RL8Wr5L8dHk4Bf3SXsc8ilsntpr4yB0Is7b7Rq9IlE0vHQNgMvejIxWyoZv1AZvlCTkVjTol4IBo2TWaVgF7QKi7X5WPf,9NwuFFh6x84ZS8J9pFyqX65nADuSCVqR2bkoqw11KfDw4zyBuo4WvMWpAXRlj7xVEh02FLOpgc0FFT1TX8xgGpPxfWZHhJoSnhYgFGNQdJDROrzgJ4V8tRpETiODEv3Q9L5dBHQbzZNE8I41OIQHvlc1aC68jqhsbS6FZBRNu5dZZgG5C
5,cpwtpv1QbQFVIS3ry4gkFFket0dMvEt1Y5kvTlpzJjf29PJE6Jlx9bPxHIrBM939OGof9oM0i1Sn8H4R46l5fQ4utizI0g7h0WyLMjJ0g4urkCXohldlR1x0HpN5VyVqVaYBpvkD3eQvZpJ8Ae2dhP4Pjv1TVogbBskLsoxkrEYpT7jiBpt0CvJXNcR0Pknnh5qc1FGvZPVLgmkhm6nIgpvb,7f1hHRGTY5Sn56pZX4r9n6Q15eCz00dHXeJoOYluOmZdADUry4kd1llIzttE6HPwBbsn0lkhse4KaOCVJhvjMmuDGNVsfR8LOZDa2HtAaBBZcsfMqJyekgIxKy7ikT6tkhmxlFcebWpmv1CK1Z7RPqNHmd47Q61voUFYaL5k32y5Qi7NkTMc15dQZ3dHztKzDzK3NdZrGH9VMnFuVenCT0bbxKD35Bii5ejYrzjQH2dSY
6,XOb4UX850n09t1eRcD05wNOsMb9mKCuJXJN9IbvRw47QHr4NmNniU7PYCegoqYEyV89KFtZwFJZuQCDJzs0gk9O8TE04Ctkh9MtAAuKdwgKMPRMBfiVKXxgnoJJAOALAummV29l4qRaeSXEX3eq0i57w8C1x5JfXz55fWlRVkGVA7T3x1iGp9tX1DxMCyCtCrMGX07p,9PVUJyHwI38LKQTb3RqOhiVrcdq16c3mxSET3lV3mZvAPdcaaov5M46zn3L74X119rHq7lYy9Y0S4nHC5E1bBH2gK3xJlXKLVQkMjY95VY5HCRvjEGkOalELiPn9Ca5i0gqD0mEVZExjjU0oxpzDiVbPWV08jC12yywUwTkOPVf1ety2J5ql7mB9hUPKcLUbTBVYs5ObkajDY7y
7,wslJxKhwlo70TLUonIza0wDLXJIsHHlmibGQiMV4AmWWLT4mub19P3r6f2A5GvBzXCaIqZpQEeVzSrcx3F81y2nl4wjezu5u4A44MM8jgeyxazG27MciJT1DbgvA3IfFUfVq0Z5VNtJ2ILYIOCMpwdws4TXjQFFxHGVxyygfYvGXurITqT3QfGZaPh3OrV1Deq0OAB8mYiByd0Nysy8AnU1evRHfAOAMBBG6,z2VCImIg2o8kQQVBlDkw4tHEvbkIQf0wxnbpMxfLc8cwqNZDVPbJLolx7irt5FaSXKhAEJoYtTIT696MLYLTeAH8Ah9DkVzAobH8tOhPuQxOHchFQffCfTTBWD7Z8zBsLKxjopZZK3xJusy5nkkWzn8RtAdO8H1WUSi5TZ9uzSvv9eDT1vRri7i
8,k0IlOMSOQQkiJLLfYtRx1lcN3XFt9kxRlas9ueWUVLn7Jy4QSNPUTe0rm3s9QIRNC5DOhyqIKOpVy6QuGJhlbmxWSuldHPPp3hiJDnLHuTKrv0HOopiUoPHGkogbGENjpQPshRyMtZTucH84,MORzZXKPGpN9NoU8b0c2sCCXPUfa6hb2tAjkqHesNp3RtcXzN5hUbUKRReN6gBKcWMoLeGA6ze977Vb9PknTcx10Ulsiu0Pbw97YeoXWlo5IWautCuOyD7QwMqpzAekj92hFONBgGIvtPP6mC0IuPSUGH0iMq2ccbphvF9WllLtohU41OVqFF69Eyqc87AF4p
9,VcCOa0rNEgSh7jTDcsL52GmguW49b5eNvvwjMtxyqz44aisb35qn4rH6zffT7vBmJyfb8LmQROhIieBE63tQ2xfyHiD4Xnc7Y9NhEFmCEW16zbAJh3ZvI7JJASYcOJB3gm71rOOHuhIFFOk5P3MrTbL62nK7q9Y4ktnIIt2o746M7uNYNd13jb53u6tVGFulUu8hl4xzbjdqEPFCHXSMFpHVjV5qZxnMd1Q8hErMa2J855pll,MMb6qNEVsUWDdYAiLXS9rPVMyx0zxiWW6a58cDzRw2kdZNWpnCGAUzDwNWJSwI0O8LrPHEd8r4ymKVTU6GUAkJmrqXY0t97s3rxEnn2vIQ7yG7ivlsVssS6bFPb6UTu39FWjIuwnWTeABDfVu2kiBAtRE7bDHgBc
10,nTGWUuZwm249d4zPsIDfWlQ16n873YriYIIZ2c3O6AaFeqep4wxB7dk04EBT5zTLjnBr317fAdC4EMg32h4CzgaouHmByBFHHO39SaqhSZLkMtwC9E5omvXpWiphZUgWzl0FrFsdENJNQgI9YF6PX9JLxHfDe5Wdjl9PLXmQlF6TmMkyN81u2o8q1q2BtTbuTZE5tM2Be3I8B83FTTlYzB1WRchx1hY62oqM1W3yQIU7JjdBWmMTcfJJddmVUT6,8Y4c6m0Cv2dDnYYjr11c3oBHLNvgTCLKmU0xb07AwcN7G0yKiUpZtB6yEi9qYtDBh4dhzjOVaM8hrh0EII1THponSknvX1c93PRsZVK7FzgdI4ps1kth4DCM3VaRtHatZWoZtmXr8XdL3JuhcAxGJHMqipZkuJbuJYmRrqOEJbp62OXP76l
